match_id,home_team,away_team,home_goals,away_goals,match_outcome,Home_Ball_Possession,Home_Pass_Accuracy,Home_Total_Shots,Home_Expected_Goals,Away_Ball_Possession,Away_Pass_Accuracy,Away_Total_Shots,Away_Expected_Goals
1035123,Newcastle,Crystal Palace,4,0,Win,,,,,,,,
1035117,Bournemouth,Wolves,1,2,Loss,,,,,,,,
1035122,Manchester City,Brighton,2,1,Win,,,,,,,,
1035119,Brentford,Burnley,3,0,Win,,,,,,,,
1035124,Nottingham Forest,Luton,2,2,Draw,,,,,,,,
1035120,Chelsea,Arsenal,2,2,Draw,,,,,,,,
1035125,Sheffield Utd,Manchester United,1,2,Loss,,,,,,,,
1035118,Aston Villa,West Ham,4,1,Win,,,,,,,,
1035126,Tottenham,Fulham,2,0,Win,,,,,,,,
1035132,Crystal Palace,Tottenham,1,2,Loss,,,,,,,,
1035131,Chelsea,Brentford,0,2,Loss,,,,,,,,
1035127,Bournemouth,Burnley,2,1,Win,,,,,,,,
1035128,Arsenal,Sheffield Utd,5,0,Win,,,,,,,,
1035136,Wolves,Newcastle,2,2,Draw,,,,,,,,
1035135,West Ham,Everton,0,1,Loss,,,,,,,,
1035133,Liverpool,Nottingham Forest,3,0,Win,,,,,,,,
1035130,Brighton,Fulham,1,1,Draw,,,,,,,,
1035129,Aston Villa,Luton,3,1,Win,,,,,,,,
1035134,Manchester United,Manchester City,0,3,Loss,,,,,,,,
1035140,Fulham,Manchester United,0,1,Loss,,,,,,,,
1035138,Burnley,Crystal Palace,0,2,Loss,,,,,,,,
1035139,Everton,Brighton,1,1,Draw,,,,,,,,
1035142,Manchester City,Bournemouth,6,1,Win,,,,,,,,
1035137,Brentford,West Ham,3,2,Win,,,,,,,,
1035145,Sheffield Utd,Wolves,2,1,Win,,,,,,,,
1035143,Newcastle,Arsenal,1,0,Win,,,,,,,,
1035144,Nottingham Forest,Aston Villa,2,0,Win,,,,,,,,
1035141,Luton,Liverpool,1,1,Draw,,,,,,,,
1035146,Tottenham,Chelsea,1,4,Loss,,,,,,,,
1035156,Wolves,Tottenham,2,1,Win,,,,,,,,
1035154,Manchester United,Luton,1,0,Win,,,,,,,,
1035148,Arsenal,Burnley,3,1,Win,,,,,,,,
1035152,Crystal Palace,Everton,2,3,Loss,,,,,,,,
1035147,Bournemouth,Newcastle,2,0,Win,,,,,,,,
1035153,Liverpool,Brentford,3,0,Win,,,,,,,,
1035155,West Ham,Nottingham Forest,3,2,Win,,,,,,,,
1035150,Brighton,Sheffield Utd,1,1,Draw,,,,,,,,
1035149,Aston Villa,Fulham,3,1,Win,,,,,,,,
1035151,Chelsea,Manchester City,4,4,Draw,,,,,,,,
1035299,Manchester City,Liverpool,1,1,Draw,,,,,,,,
1035300,Newcastle,Chelsea,4,1,Win,,,,,,,,
1035295,Burnley,West Ham,1,2,Loss,,,,,,,,
1035302,Sheffield Utd,Bournemouth,1,3,Loss,,,,,,,,
1035301,Nottingham Forest,Brighton,2,3,Loss,,,,,,,,
1035298,Luton,Crystal Palace,2,1,Win,,,,,,,,
1035294,Brentford,Arsenal,0,1,Loss,,,,,,,,
1035303,Tottenham,Aston Villa,1,2,Loss,,,,,,,,
1035296,Everton,Manchester United,0,3,Loss,,,,,,,,
1035297,Fulham,Wolves,3,2,Win,,,,,,,,
1035305,Arsenal,Wolves,2,1,Win,,,,,,,,
1035307,Burnley,Sheffield Utd,5,0,Win,,,,,,,,
1035306,Brentford,Luton,3,1,Win,,,,,,,,
1035312,Nottingham Forest,Everton,0,1,Loss,,,,,,,,
1035311,Newcastle,Manchester United,1,0,Win,,,,,,,,
1035304,Bournemouth,Aston Villa,2,2,Draw,,,,,,,,
1035309,Liverpool,Fulham,4,3,Win,,,,,,,,
1035313,West Ham,Crystal Palace,1,1,Draw,,,,,,,,
1035308,Chelsea,Brighton,3,2,Win,,,,,,,,
1035310,Manchester City,Tottenham,3,3,Draw,,,,,,,,
1035321,Wolves,Burnley,1,0,Win,,,,,,,,
1035318,Luton,Arsenal,3,4,Loss,,,,,,,,
1035317,Fulham,Nottingham Forest,5,0,Win,,,,,,,,
1035315,Brighton,Brentford,2,1,Win,,,,,,,,
1035322,Crystal Palace,Bournemouth,0,2,Loss,,,,,,,,
1035319,Sheffield Utd,Liverpool,0,2,Loss,,,,,,,,
1035323,Manchester United,Chelsea,2,1,Win,,,,,,,,
1035314,Aston Villa,Manchester City,1,0,Win,,,,,,,,
1035316,Everton,Newcastle,3,0,Win,,,,,,,,
1035320,Tottenham,West Ham,1,2,Loss,,,,,,,,
1035326,Crystal Palace,Liverpool,1,2,Loss,,,,,,,,
1035330,Manchester United,Bournemouth,0,3,Loss,,,,,,,,
1035333,Wolves,Nottingham Forest,1,1,Draw,,,,,,,,
1035325,Brighton,Burnley,1,1,Draw,,,,,,,,
1035331,Sheffield Utd,Brentford,1,0,Win,,,,,,,,
1035324,Aston Villa,Arsenal,1,0,Win,,,,,,,,
1035328,Fulham,West Ham,5,0,Win,,,,,,,,
1035327,Everton,Chelsea,2,0,Win,,,,,,,,
1035329,Luton,Manchester City,1,2,Loss,,,,,,,,
1035332,Tottenham,Newcastle,4,1,Win,,,,,,,,
1035342,Nottingham Forest,Tottenham,0,2,Loss,,,,,,,,
1035341,Newcastle,Fulham,3,0,Win,,,,,,,,
1035338,Chelsea,Sheffield Utd,2,0,Win,,,,,,,,
1035340,Manchester City,Crystal Palace,2,2,Draw,,,,,,,,
1035337,Burnley,Everton,0,2,Loss,,,,,,,,
1035335,Arsenal,Brighton,2,0,Win,,,,,,,,
