match_id,home_team,away_team,home_goals,away_goals,match_outcome,home_ball_possession,home_pass_accuracy,home_total_shots,home_expected_goals,away_ball_possession,away_pass_accuracy,away_total_shots,away_expected_goals,home_expected_goals_against,away_expected_goals_against,home_conversion_rate,away_conversion_rate,home_goal_difference,away_goal_difference,home_expected_goals_difference,away_expected_goals_difference,home_expected_goals_against_difference,away_expected_goals_against_difference,home_shot_difference,away_shot_difference,home_goals_last5_avg,away_goals_last5_avg,home_ball_possession_last5_avg,away_ball_possession_last5_avg,home_pass_accuracy_last5_avg,away_pass_accuracy_last5_avg,home_total_shots_last5_avg,away_total_shots_last5_avg,home_expected_goals_last5_avg,away_expected_goals_last5_avg,home_expected_goals_against_last5_avg,away_expected_goals_against_last5_avg,home_conversion_rate_last5_avg,away_conversion_rate_last5_avg,home_goal_difference_last5_avg,away_goal_difference_last5_avg,home_expected_goals_difference_last5_avg,away_expected_goals_difference_last5_avg,home_expected_goals_against_difference_last5_avg,away_expected_goals_against_difference_last5_avg,home_shot_difference_last5_avg,away_shot_difference_last5_avg,home_goals_avg_all,away_goals_avg_all,home_ball_possession_avg_all,away_ball_possession_avg_all,home_pass_accuracy_avg_all,away_pass_accuracy_avg_all,home_total_shots_avg_all,away_total_shots_avg_all,home_expected_goals_avg_all,away_expected_goals_avg_all,home_expected_goals_against_avg_all,away_expected_goals_against_avg_all,home_conversion_rate_avg_all,away_conversion_rate_avg_all,home_goal_difference_avg_all,away_goal_difference_avg_all,home_expected_goals_difference_avg_all,away_expected_goals_difference_avg_all,home_expected_goals_against_difference_avg_all,away_expected_goals_against_difference_avg_all,home_shot_difference_avg_all,away_shot_difference_avg_all,home_wins_last5,home_draws_last5,home_losses_last5,away_wins_last5,away_draws_last5,away_losses_last5,home_wins_all,home_draws_all,home_losses_all,away_wins_all,away_draws_all,away_losses_all
1035057,Bournemouth,Tottenham,0,2,Loss,43.0,80.0,11,0.67,57.0,89.0,17,2.06,2.06,0.67,0.0,0.11764705882352941,-2,2,-1.3900000000000001,1.3900000000000001,1.3900000000000001,-1.3900000000000001,-6,6,1.0,2.0,49.0,63.0,77.5,87.5,13.5,17.5,1.33,1.505,2.075,2.145,0.07417582417582418,0.11437908496732026,-1.0,1.0,-0.745,-0.64,0.745,0.64,-7.5,1.0,1.0,2.0,49.0,63.0,77.5,87.5,13.5,17.5,1.33,1.505,2.075,2.145,0.07417582417582418,0.11437908496732026,-1.0,1.0,-0.745,-0.64,0.745,0.64,-7.5,1.0,0,1,1,1,1,0,0,1,1,1,1,0
1035064,Manchester United,Nottingham Forest,3,2,Win,66.0,86.0,18,2.83,34.0,72.0,9,1.21,1.21,2.83,0.16666666666666666,0.2222222222222222,1,-1,1.62,-1.62,-1.62,1.62,9,-9,0.5,1.5,47.5,36.0,82.5,74.0,18.5,11.0,2.1399999999999997,1.285,2.045,0.665,0.03333333333333333,0.14583333333333331,-0.5,0.0,0.09499999999999986,0.6199999999999999,-0.09499999999999986,-0.6199999999999999,-1.5,0.0,0.5,1.5,47.5,36.0,82.5,74.0,18.5,11.0,2.1399999999999997,1.285,2.045,0.665,0.03333333333333333,0.14583333333333331,-0.5,0.0,0.09499999999999986,0.6199999999999999,-0.09499999999999986,-0.6199999999999999,-1.5,0.0,1,0,1,1,0,1,1,0,1,1,0,1
1035058,Arsenal,Fulham,2,2,Draw,71.0,90.0,19,3.2,29.0,72.0,8,0.56,0.56,3.2,0.10526315789473684,0.25,0,0,2.64,-2.64,-2.64,2.64,11,-11,1.5,0.5,65.5,57.0,88.0,84.5,14.5,9.5,1.425,0.98,1.095,3.33,0.10238095238095238,0.05555555555555555,1.0,-1.0,0.33,-2.35,-0.33,2.35,4.5,-8.5,1.5,0.5,65.5,57.0,88.0,84.5,14.5,9.5,1.425,0.98,1.095,3.33,0.10238095238095238,0.05555555555555555,1.0,-1.0,0.33,-2.35,-0.33,2.35,4.5,-8.5,2,0,0,1,0,1,2,0,0,1,0,1
1035063,Everton,Wolves,0,1,Loss,47.0,82.0,15,1.34,53.0,84.0,11,1.08,1.08,1.34,0.0,0.09090909090909091,-1,1,0.26,-0.26,-0.26,0.26,4,-4,0.0,0.5,40.5,47.5,80.0,82.5,14.0,19.5,1.68,2.245,2.25,2.215,0.0,0.03125,-2.5,-2.0,-0.5700000000000001,0.030000000000000027,0.5700000000000001,-0.030000000000000027,3.0,4.0,0.0,0.5,40.5,47.5,80.0,82.5,14.0,19.5,1.68,2.245,2.25,2.215,0.0,0.03125,-2.5,-2.0,-0.5700000000000001,0.030000000000000027,0.5700000000000001,-0.030000000000000027,3.0,4.0,0,0,2,0,0,2,0,0,2,0,0,2
1035059,Brentford,Crystal Palace,1,1,Draw,60.0,85.0,12,0.97,40.0,81.0,15,0.8,0.8,0.97,0.08333333333333333,0.06666666666666667,0,0,0.16999999999999993,-0.16999999999999993,-0.16999999999999993,0.16999999999999993,-3,3,2.5,0.5,37.5,57.5,80.0,84.5,14.0,19.0,3.075,1.45,0.865,1.2650000000000001,0.17914438502673796,0.020833333333333332,1.5,0.0,2.21,0.18499999999999994,-2.21,-0.18499999999999994,0.0,8.0,2.5,0.5,37.5,57.5,80.0,84.5,14.0,19.0,3.075,1.45,0.865,1.2650000000000001,0.17914438502673796,0.020833333333333332,1.5,0.0,2.21,0.18499999999999994,-2.21,-0.18499999999999994,0.0,8.0,1,1,0,1,0,1,1,1,0,1,0,1
1035060,Brighton,West Ham,1,3,Loss,78.0,89.0,25,1.48,22.0,68.0,12,3.23,3.23,1.48,0.04,0.25,-2,2,-1.75,1.75,1.75,-1.75,13,-13,4.0,2.0,62.5,30.5,89.5,68.5,21.5,14.0,3.115,1.435,1.81,1.9300000000000002,0.19907407407407407,0.15625,3.0,1.0,1.305,-0.4950000000000001,-1.305,0.4950000000000001,9.0,-1.5,4.0,2.0,62.5,30.5,89.5,68.5,21.5,14.0,3.115,1.435,1.81,1.9300000000000002,0.19907407407407407,0.15625,3.0,1.0,1.305,-0.4950000000000001,-1.305,0.4950000000000001,9.0,-1.5,2,0,0,1,1,0,2,0,0,1,1,0
1035061,Burnley,Aston Villa,1,3,Loss,57.0,89.0,9,0.73,43.0,84.0,16,2.7,2.7,0.73,0.1111111111111111,0.1875,-2,2,-1.9700000000000002,1.9700000000000002,1.9700000000000002,-1.9700000000000002,-7,7,0.0,2.5,34.0,53.5,79.0,87.5,6.0,14.5,0.33,2.385,2.08,2.02,0.0,0.18509615384615385,-3.0,0.0,-1.75,0.365,1.75,-0.365,-11.0,1.5,0.0,2.5,34.0,53.5,79.0,87.5,6.0,14.5,0.33,2.385,2.08,2.02,0.0,0.18509615384615385,-3.0,0.0,-1.75,0.365,1.75,-0.365,-11.0,1.5,0,0,1,1,0,1,0,0,1,1,0,1
1035066,Sheffield Utd,Manchester City,1,2,Loss,21.0,68.0,6,0.67,79.0,92.0,30,3.6,3.6,0.67,0.16666666666666666,0.06666666666666667,-1,1,-2.93,2.93,2.93,-2.93,-24,24,0.5,2.0,41.0,63.0,68.5,90.0,7.5,15.5,0.505,1.58,1.64,0.31,0.07142857142857142,0.12394957983193278,-1.0,2.0,-1.1349999999999998,1.27,1.1349999999999998,-1.27,-12.5,9.0,0.5,2.0,41.0,63.0,68.5,90.0,7.5,15.5,0.505,1.58,1.64,0.31,0.07142857142857142,0.12394957983193278,-1.0,2.0,-1.1349999999999998,1.27,1.1349999999999998,-1.27,-12.5,9.0,0,0,2,2,0,0,0,0,2,2,0,0
1035065,Newcastle,Liverpool,1,2,Loss,60.0,86.0,23,1.99,40.0,80.0,9,0.88,0.88,1.99,0.043478260869565216,0.2222222222222222,-1,1,1.1099999999999999,-1.1099999999999999,-1.1099999999999999,1.1099999999999999,14,-14,2.5,2.0,46.5,50.0,85.5,83.0,12.0,19.5,1.85,2.18,1.425,1.32,0.14705882352941177,0.09615384615384616,1.5,1.0,0.42500000000000004,0.86,-0.42500000000000004,-0.86,-3.0,8.0,2.5,2.0,46.5,50.0,85.5,83.0,12.0,19.5,1.85,2.18,1.425,1.32,0.14705882352941177,0.09615384615384616,1.5,1.0,0.42500000000000004,0.86,-0.42500000000000004,-0.86,-3.0,8.0,1,0,1,1,1,0,1,0,1,1,1,0
1035074,Luton,West Ham,1,2,Loss,39.0,73.0,16,1.47,61.0,83.0,9,1.03,1.03,1.47,0.0625,0.2222222222222222,-1,1,0.43999999999999995,-0.43999999999999995,-0.43999999999999995,0.43999999999999995,7,-7,0.5,2.3333333333333335,31.0,27.666666666666668,75.0,68.33333333333333,10.0,13.333333333333334,0.96,2.033333333333333,3.1399999999999997,1.78,0.05555555555555555,0.1875,-3.0,1.3333333333333333,-2.1799999999999997,0.25333333333333324,2.1799999999999997,-0.25333333333333324,-13.0,-5.333333333333333,0.5,2.3333333333333335,31.0,27.666666666666668,75.0,68.33333333333333,10.0,13.333333333333334,0.96,2.033333333333333,3.1399999999999997,1.78,0.05555555555555555,0.1875,-3.0,1.3333333333333333,-2.1799999999999997,0.25333333333333324,2.1799999999999997,-0.25333333333333324,-13.0,-5.333333333333333,0,0,2,2,1,0,0,0,2,2,1,0
